date,move,account,partner,debit,credit,asset,quantity,tx_hash,wallet_address,payment_reference,review_status
2026-05-11,PBNK1/2026/00016,101403 Outstanding Receipts,Public user,30.09,0.0,ETHEREUM,0.0106,0x0e42076e670dfee094dc050a02acf9378947df2147d1568ea9dcbbdc570bcfe5,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,261-1-000008-12,needs_review
2026-05-11,PBNK1/2026/00016,121000 Accounts Receivable,Public user,0.0,30.09,ETHEREUM,0.0106,0x0e42076e670dfee094dc050a02acf9378947df2147d1568ea9dcbbdc570bcfe5,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,261-1-000008-12,needs_review
2026-05-11,PBNK1/2026/00015,101403 Outstanding Receipts,Public user,30.09,0.0,ETHEREUM,0.0106,0x1f45365ca0a9afdd6c22399b8a892bc1d3e01c01a37081e81e9c2ab135c4e606,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,261-1-000007-2,needs_review
2026-05-11,PBNK1/2026/00015,121000 Accounts Receivable,Public user,0.0,30.09,ETHEREUM,0.0106,0x1f45365ca0a9afdd6c22399b8a892bc1d3e01c01a37081e81e9c2ab135c4e606,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,261-1-000007-2,needs_review
2026-05-11,PBNK1/2026/00014,101403 Outstanding Receipts,Public user,30.09,0.0,ETHEREUM,0.0106,0xf5e9f0a9d5d156b6e62e8ea8ce95fc6815548f2584279da895eef3e8cb9e71ba,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,261-1-000006-1,needs_review
2026-05-11,PBNK1/2026/00014,121000 Accounts Receivable,Public user,0.0,30.09,ETHEREUM,0.0106,0xf5e9f0a9d5d156b6e62e8ea8ce95fc6815548f2584279da895eef3e8cb9e71ba,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,261-1-000006-1,needs_review
2026-05-10,PBNK1/2026/00013,101403 Outstanding Receipts,"TEST, Eng. Bahey Wada",56.78,0.0,ETHEREUM,0.02,0x8b4cd1e791acc642e7f755923c896447bb72c4816b719b004d18cd031ec74425,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,S00020-2,needs_review
2026-05-10,PBNK1/2026/00013,121000 Accounts Receivable,"TEST, Eng. Bahey Wada",0.0,56.78,ETHEREUM,0.02,0x8b4cd1e791acc642e7f755923c896447bb72c4816b719b004d18cd031ec74425,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,S00020-2,needs_review
2026-05-10,PBNK1/2026/00012,101403 Outstanding Receipts,"TEST, Eng. Bahey Wada",28.39,0.0,ETHEREUM,0.01,0xf65602201d56d6eaafaff57fe73e154b51a4f5861b251ff35b8abebcba6980e9,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,S00021,needs_review
2026-05-10,PBNK1/2026/00012,121000 Accounts Receivable,"TEST, Eng. Bahey Wada",0.0,28.39,ETHEREUM,0.01,0xf65602201d56d6eaafaff57fe73e154b51a4f5861b251ff35b8abebcba6980e9,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,S00021,needs_review
2026-05-10,PBNK1/2026/00011,101403 Outstanding Receipts,"TEST, Eng. Bahey Wada",56.78,0.0,ETHEREUM,0.02,0xc93bae40e818331f6fa95da339bea86e00ad08373fd1bb5bb8d6ad63e302c934,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,S00019,needs_review
2026-05-10,PBNK1/2026/00011,121000 Accounts Receivable,"TEST, Eng. Bahey Wada",0.0,56.78,ETHEREUM,0.02,0xc93bae40e818331f6fa95da339bea86e00ad08373fd1bb5bb8d6ad63e302c934,0xf7d2748495efdc1439c6651e4f0e8a3488af4c13,S00019,needs_review
